id,title,url,images,interaction_statistics,created_at
aE01zON,I got his and her phone cases but she didn't like them for some reason...,http://9gag.com/gag/aE01zON,"{'image700': {'width': 600, 'height': 791, 'url': 'https://img-9gag-fun.9cache.com/photo/aE01zON_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aE01zON_700bwp.webp'}, 'image460': {'width': 460, 'height': 606, 'url': 'https://img-9gag-fun.9cache.com/photo/aE01zON_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aE01zON_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aE01zON_fbthumbnail.jpg'}}","{'likes': 6, 'dislikes': 42, 'comments': 5}",2024-05-28 19:56:31
a9yLPLZ,Congrats to the class of 2024!,http://9gag.com/gag/a9yLPLZ,"{'image700': {'width': 526, 'height': 767, 'url': 'https://img-9gag-fun.9cache.com/photo/a9yLPLZ_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a9yLPLZ_700bwp.webp'}, 'image460': {'width': 460, 'height': 670, 'url': 'https://img-9gag-fun.9cache.com/photo/a9yLPLZ_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a9yLPLZ_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a9yLPLZ_fbthumbnail.jpg'}}","{'likes': 1, 'dislikes': 2, 'comments': 0}",2024-05-28 16:04:08
an7KX8b,"My dog Nigel and the old man from the Simpsons, I've never seen the together at the same time...",http://9gag.com/gag/an7KX8b,"{'image700': {'width': 700, 'height': 350, 'url': 'https://img-9gag-fun.9cache.com/photo/an7KX8b_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/an7KX8b_700bwp.webp'}, 'image460': {'width': 460, 'height': 230, 'url': 'https://img-9gag-fun.9cache.com/photo/an7KX8b_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/an7KX8b_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/an7KX8b_fbthumbnail.jpg'}}","{'likes': 139, 'dislikes': 34, 'comments': 5}",2024-05-28 01:36:26
a343YAQ,"Damn, that's tiny!",http://9gag.com/gag/a343YAQ,"{'image700': {'width': 700, 'height': 1094, 'url': 'https://img-9gag-fun.9cache.com/photo/a343YAQ_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a343YAQ_700bwp.webp'}, 'image460': {'width': 460, 'height': 719, 'url': 'https://img-9gag-fun.9cache.com/photo/a343YAQ_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a343YAQ_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a343YAQ_fbthumbnail.jpg'}}","{'likes': 419, 'dislikes': 81, 'comments': 40}",2024-05-27 16:02:30
a343PMe,"Boost your post with a funny, creative and descriptive title!",http://9gag.com/gag/a343PMe,"{'image700': {'width': 600, 'height': 533, 'url': 'https://img-9gag-fun.9cache.com/photo/a343PMe_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a343PMe_700bwp.webp'}, 'image460': {'width': 460, 'height': 408, 'url': 'https://img-9gag-fun.9cache.com/photo/a343PMe_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a343PMe_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a343PMe_fbthumbnail.jpg'}}","{'likes': 33, 'dislikes': 25, 'comments': 9}",2024-05-27 02:33:22
a6Zym7b,The 50s were the best!,http://9gag.com/gag/a6Zym7b,"{'image700': {'width': 600, 'height': 428, 'url': 'https://img-9gag-fun.9cache.com/photo/a6Zym7b_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a6Zym7b_700bwp.webp'}, 'image460': {'width': 460, 'height': 328, 'url': 'https://img-9gag-fun.9cache.com/photo/a6Zym7b_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a6Zym7b_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a6Zym7b_fbthumbnail.jpg'}}","{'likes': 1, 'dislikes': 0, 'comments': 0}",2024-05-27 01:17:59
aAyVW9Z,"They are indeed, quite good.",http://9gag.com/gag/aAyVW9Z,"{'image700': {'width': 526, 'height': 702, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyVW9Z_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aAyVW9Z_700bwp.webp'}, 'image460': {'width': 460, 'height': 613, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyVW9Z_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aAyVW9Z_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aAyVW9Z_fbthumbnail.jpg'}}","{'likes': 1311, 'dislikes': 67, 'comments': 26}",2024-05-26 00:29:35
ae93LVO,I don't know whether to be angry or happy...,http://9gag.com/gag/ae93LVO,"{'image700': {'width': 260, 'height': 462, 'url': 'https://img-9gag-fun.9cache.com/photo/ae93LVO_460s.jpg'}, 'image460': {'width': 260, 'height': 462, 'url': 'https://img-9gag-fun.9cache.com/photo/ae93LVO_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/ae93LVO_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/ae93LVO_fbthumbnail.jpg'}, 'image460sv': {'width': 260, 'height': 462, 'url': 'https://img-9gag-fun.9cache.com/photo/ae93LVO_460sv.mp4', 'hasAudio': 0, 'duration': 9, 'vp8Url': 'https://img-9gag-fun.9cache.com/photo/ae93LVO_460svwm.webm', 'h265Url': 'https://img-9gag-fun.9cache.com/photo/ae93LVO_460svh265.mp4', 'vp9Url': 'https://img-9gag-fun.9cache.com/photo/ae93LVO_460svvp9.webm'}}","{'likes': 66, 'dislikes': 205, 'comments': 20}",2024-05-25 03:32:03
ae93L5p,"Meanwhile, at the Kroger Board Meeting...",http://9gag.com/gag/ae93L5p,"{'image700': {'width': 526, 'height': 526, 'url': 'https://img-9gag-fun.9cache.com/photo/ae93L5p_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/ae93L5p_700bwp.webp'}, 'image460': {'width': 460, 'height': 460, 'url': 'https://img-9gag-fun.9cache.com/photo/ae93L5p_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/ae93L5p_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/ae93L5p_fbthumbnail.jpg'}}","{'likes': 560, 'dislikes': 24, 'comments': 5}",2024-05-25 00:29:37
a1mZyLR,I'm berry glad no one was hurt...,http://9gag.com/gag/a1mZyLR,"{'image700': {'width': 499, 'height': 495, 'url': 'https://img-9gag-fun.9cache.com/photo/a1mZyLR_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a1mZyLR_700bwp.webp'}, 'image460': {'width': 460, 'height': 456, 'url': 'https://img-9gag-fun.9cache.com/photo/a1mZyLR_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a1mZyLR_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a1mZyLR_fbthumbnail.jpg'}}","{'likes': 0, 'dislikes': 0, 'comments': 0}",2024-05-24 18:52:11
